Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,country_code,latitude,longitude
Egypt,Asyut,151,3,1,0,65,1,1,0,151,3,EG,26.820553,30.802498
Togo,Bafilo,43,0,1,0,19,0,0,0,43,0,TG,8.619543,0.824782
France,Bailleul,37,0,1,0,37,0,0,0,37,0,FR,46.227638,2.213749
India,Baripada,109,2,2,0,25,0,4,0,109,2,IN,20.593684,78.96288
Belize,Belmopan,59,1,1,0,24,0,0,0,59,1,BZ,17.189877,-88.49765
United States of America,Berkeley Heights,49,0,1,0,46,0,1,0,49,0,USA,37.0902,-95.7129
United States of America,Billerica,40,0,1,0,36,0,1,0,40,0,USA,37.0902,-95.7129
Brazil,Boca Do Acre,30,0,1,0,5,0,0,0,30,0,BR,-14.235004,-51.92528
Romania,Bolintinu Din Vale,56,1,1,0,47,0,0,0,56,1,RO,45.943161,24.96676
Brazil,Brasileia,30,0,1,0,8,0,0,0,30,0,BR,-14.235004,-51.92528
United Kingdom of Great Britain and Northern Ireland,Bridlington,43,0,1,0,38,0,1,0,43,0,UKI,55.3781,-3.436
Turkey,Bucak,56,1,1,0,42,0,0,0,56,1,TR,38.963745,35.243322
Colombia,Buga,17,0,1,0,13,0,0,0,17,0,CO,4.570868,-74.297333
Kenya,Butere,112,2,3,0,17,0,2,0,112,2,KE,-0.023559,37.906193
United States of America,Butte,46,0,0,0,27,0,0,0,46,0,USA,37.0902,-95.7129
